time, 0.00              ,   1.0000000000E-01,   2.0000000000E-01,   3.0000000000E-01,   4.0000000000E-01,   5.0000000000E-01,   6.0000000000E-01,   7.0000000000E-01,   8.0000000000E-01,   9.0000000000E-01,   1.0000000000E+00,   1.1000000000E+00,   1.2000000000E+00,   1.3000000000E+00,   1.4000000000E+00,   1.5000000000E+00,   1.6000000000E+00,   1.7000000000E+00,   1.8000000000E+00,   1.9000000000E+00,   2.0000000000E+00,   2.1000000000E+00,   2.2000000000E+00,   2.3000000000E+00,   2.4000000000E+00,   2.5000000000E+00,   2.6000000000E+00,   2.7000000000E+00,   2.8000000000E+00,   2.9000000000E+00,   3.0000000000E+00,   3.1000000000E+00,   3.2000000000E+00,   3.3000000000E+00,   3.4000000000E+00,   3.5000000000E+00,   3.6000000000E+00,   3.7000000000E+00,   3.8000000000E+00,   3.9000000000E+00,   4.0000000000E+00,   4.1000000000E+00,   4.2000000000E+00,   4.3000000000E+00,   4.4000000000E+00,   4.5000000000E+00,   4.6000000000E+00,   4.7000000000E+00,   4.8000000000E+00,   4.9000000000E+00,   5.0000000000E+00,   5.1000000000E+00,   5.2000000000E+00,   5.3000000000E+00,   5.4000000000E+00,   5.5000000000E+00,   5.6000000000E+00,   5.7000000000E+00,   5.8000000000E+00,   5.9000000000E+00,   6.0000000000E+00,   6.1000000000E+00,   6.2000000000E+00,   6.3000000000E+00,   6.4000000000E+00,   6.5000000000E+00,   6.6000000000E+00,   6.7000000000E+00,   6.8000000000E+00,   6.9000000000E+00,   7.0000000000E+00
eps,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02,   9.0909090909E-02
m1,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01,   1.0000000000E+01
m2,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00
u, 0.00              ,  -6.7608866243E-01,  -4.8975793142E-01,  -3.1930945559E-01,  -1.7214057968E-01,  -4.5902723241E-02,   6.1512573564E-02,   1.5201165215E-01,   2.2730831954E-01,   2.8894861349E-01,   3.3832639890E-01,   3.7669895463E-01,   4.0520093951E-01,   4.2485695072E-01,   4.3067035351E-01,   4.3067035351E-01,   4.3067035351E-01,   4.3067035351E-01,   4.1894625584E-01,   4.0218038978E-01,   3.8148718624E-01,   3.5733986514E-01,   3.3017237370E-01,   3.0038412830E-01,   2.6834431308E-01,   2.3439593506E-01,   1.9885947549E-01,   1.6203633000E-01,   1.2421201340E-01,   8.5659177562E-02,   4.6640450849E-02,   7.4111814044E-03,  -3.1777925037E-02,  -7.0678283927E-02,  -1.0904091607E-01,  -1.4661394112E-01,  -1.8314010600E-01,  -2.1835426155E-01,  -2.5198079024E-01,  -2.8373096250E-01,  -3.1330012940E-01,  -3.4036496571E-01,  -3.6458025503E-01,  -3.8557573468E-01,  -4.0295277821E-01,  -4.1149132411E-01,  -4.1149132411E-01,  -4.1149132411E-01,  -4.1149132411E-01,  -4.1149132411E-01,  -4.0330972310E-01,  -3.8094183608E-01,  -3.5022569375E-01,  -3.1029674650E-01,  -2.6020695955E-01,  -1.9891616130E-01,  -1.2528257437E-01,  -3.8052414966E-02,   6.4151539688E-02,   1.8284245871E-01,   3.1968323660E-01,   4.7650186069E-01,   5.8330702815E-01,   2.7301472601E-02,  -8.4629144377E-04,  -8.4629144377E-04,  -8.4629144377E-04,  -8.4629144377E-04,  -8.4629144377E-04,  -8.4629144377E-04,  -8.4629144377E-04
final, 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              , 0.00              ,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00,   1.0000000000E+00
y,  -1.0000000000E+00,  -1.0067670950E+00,  -1.0184488087E+00,  -1.0333547011E+00,  -1.0500291648E+00,  -1.0672269629E+00,  -1.0838913419E+00,  -1.0991343158E+00,  -1.1122190042E+00,  -1.1225437592E+00,  -1.1296279087E+00,  -1.1330989473E+00,  -1.1326810221E+00,  -1.1281845782E+00,  -1.1195563202E+00,  -1.1067989478E+00,  -1.0899130268E+00,  -1.0688969736E+00,  -1.0438643662E+00,  -1.0149772165E+00,  -9.8243493920E-01,  -9.4646974659E-01,  -9.0734244716E-01,  -8.6533859913E-01,  -8.2076497357E-01,  -7.7394628527E-01,  -7.2522215356E-01,  -6.7494425753E-01,  -6.2347365293E-01,  -5.7117821957E-01,  -5.1843021050E-01,  -4.6560387464E-01,  -4.1307312627E-01,  -3.6120923545E-01,  -3.1037851388E-01,  -2.6093997042E-01,  -2.1324291106E-01,  -1.6762445738E-01,  -1.2440695687E-01,  -8.3895257753E-02,  -4.6373818959E-02,  -1.2103626316E-02,   1.8681119009E-02,   4.5776573375E-02,   6.9013120501E-02,   8.8307515866E-02,   1.0365988848E-01,   1.1506833642E-01,   1.2252888708E-01,   1.2603543614E-01,   1.2566155553E-01,   1.2162064074E-01,   1.1420768818E-01,   1.0380816537E-01,   9.0907794934E-02,   7.6103352181E-02,   6.0114586397E-02,   4.3797387573E-02,   2.8158333138E-02,   1.4370762966E-02,   3.7925469504E-03,  -2.0142709259E-03,  -1.9824224932E-03,  -1.6724474983E-03,  -1.3662688009E-03,  -1.0642967507E-03,  -7.6691062112E-04,  -4.7446212654E-04,  -1.8727869620E-04,   9.4333463477E-05,   3.7008649032E-04
v, 0.00              ,  -6.7670949683E-02,  -1.1681713710E-01,  -1.4905892431E-01,  -1.6674463700E-01,  -1.7197798080E-01,  -1.6664379031E-01,  -1.5242973923E-01,  -1.3084688406E-01,  -1.0324754936E-01,  -7.0841494898E-02,  -3.4710386138E-02,   4.1792517180E-03,   4.4964439591E-02,   8.6282579535E-02,   1.2757372422E-01,   1.6885920999E-01,   2.1016053156E-01,   2.5032607436E-01,   2.8887149725E-01,   3.2542277270E-01,   3.5965192606E-01,   3.9127299428E-01,   4.2003848034E-01,   4.4573625564E-01,   4.6818688295E-01,   4.8724131713E-01,   5.0277896026E-01,   5.1470604606E-01,   5.2295433353E-01,   5.2748009071E-01,   5.2826335860E-01,   5.2530748376E-01,   5.1863890817E-01,   5.0830721569E-01,   4.9438543462E-01,   4.7697059358E-01,   4.5618453679E-01,   4.3217500509E-01,   4.0511699120E-01,   3.7521438793E-01,   3.4270192643E-01,   3.0784745325E-01,   2.7095454366E-01,   2.3236547126E-01,   1.9294395365E-01,   1.5352372618E-01,   1.1408447939E-01,   7.4605506585E-02,   3.5065490621E-02,  -3.7388061658E-03,  -4.0409147829E-02,  -7.4129525622E-02,  -1.0399522813E-01,  -1.2900370435E-01,  -1.4804442753E-01,  -1.5988765784E-01,  -1.6317198824E-01,  -1.5639054435E-01,  -1.3787570171E-01,  -1.0578216016E-01,  -5.8068178764E-02,   3.1848432777E-04,   3.0997499483E-03,   3.0617869746E-03,   3.0197205023E-03,   2.9738612953E-03,   2.9244849459E-03,   2.8718343034E-03,   2.8161215967E-03,   2.7575302685E-03
theta, 0.00              ,   6.8291784084E-03,   1.8743369829E-02,   3.4192581622E-02,   5.1882019406E-02,   7.0737863053E-02,   8.9877354509E-02,   1.0858255499E-01,   1.2627744675E-01,   1.4250793169E-01,   1.5692439661E-01,   1.6926653735E-01,   1.7935017040E-01,   1.8705579186E-01,   1.9237849474E-01,   1.9534797382E-01,   1.9597045390E-01,   1.9422851561E-01,   1.9019910581E-01,   1.8398776981E-01,   1.7571874945E-01,   1.6553164690E-01,   1.5357860669E-01,   1.4002194463E-01,   1.2503216106E-01,   1.0878628094E-01,   9.1466470782E-02,   7.3258886182E-02,   5.4352708533E-02,   3.4939332433E-02,   1.5211668509E-02,  -4.6364719475E-03,  -2.4410942580E-02,  -4.3917808458E-02,  -6.2963904217E-02,  -8.1357434914E-02,  -9.8908651062E-02,  -1.1543063090E-01,  -1.3074020489E-01,  -1.4465905985E-01,  -1.5701506416E-01,  -1.6764385739E-01,  -1.7639075562E-01,  -1.8311302677E-01,  -1.8768259610E-01,  -1.9003762848E-01,  -1.9017954304E-01,  -1.8808741855E-01,  -1.8371755638E-01,  -1.7700280906E-01,  -1.6793430759E-01,  -1.5662261389E-01,  -1.4324107400E-01,  -1.2803693600E-01,  -1.1134417011E-01,  -9.3598224850E-02,  -7.5352983686E-02,  -5.7300220578E-02,  -4.0291891785E-02,  -2.5365644019E-02,  -1.3773968302E-02,  -7.0174860521E-03,  -6.1556303879E-03,  -5.6230196462E-03,  -5.1332787779E-03,  -4.6818939344E-03,  -4.2646931076E-03,  -3.8778074407E-03,  -3.5176352116E-03,  -3.1808081495E-03,  -2.8641597706E-03
q, 0.00              ,   6.8291784084E-02,   1.1914191421E-01,   1.5449211793E-01,   1.7689437784E-01,   1.8855843647E-01,   1.9139491456E-01,   1.8705200485E-01,   1.7694891757E-01,   1.6230484939E-01,   1.4416464916E-01,   1.2342140743E-01,   1.0083633052E-01,   7.7056214634E-02,   5.3227028758E-02,   2.9694790789E-02,   6.2248008280E-03,  -1.7419382962E-02,  -4.0294097965E-02,  -6.2113359962E-02,  -8.2690203641E-02,  -1.0187102546E-01,  -1.1953040217E-01,  -1.3556662053E-01,  -1.4989783574E-01,  -1.6245880115E-01,  -1.7319810162E-01,  -1.8207584600E-01,  -1.8906177649E-01,  -1.9413376100E-01,  -1.9727663923E-01,  -1.9848140457E-01,  -1.9774470632E-01,  -1.9506865878E-01,  -1.9046095759E-01,  -1.8393530697E-01,  -1.7551216148E-01,  -1.6521979841E-01,  -1.5309573988E-01,  -1.3918854961E-01,  -1.2356004309E-01,  -1.0628793226E-01,  -8.7468982315E-02,  -6.7222711524E-02,  -4.5695693313E-02,  -2.3550323750E-02,  -1.4191456433E-03,   2.0921244912E-02,   4.3698621685E-02,   6.7147473190E-02,   9.0685014741E-02,   1.1311693696E-01,   1.3381539893E-01,   1.5204137998E-01,   1.6692765893E-01,   1.7745945257E-01,   1.8245241164E-01,   1.8052763108E-01,   1.7008328793E-01,   1.4926247766E-01,   1.1591675717E-01,   6.7564822496E-02,   8.6185566417E-03,   5.3261074170E-03,   4.8974086836E-03,   4.5138484345E-03,   4.1720082681E-03,   3.8688566684E-03,   3.6017222917E-03,   3.3682706211E-03,   3.1664837884E-03
